# Column descriptions
# time - UTC
# observation_id - CPS internal ID
# tel - Instrument
# bjd - BJD_TDB
# mnvel - Relative RV [m/s]
# errvel - RV uncertainty [m/s]
# cts - Counts in raw 1D spectrum near 5500 Angstroms [e-]
# chi - Median reduced chi-squared for the observation over all chunks
# bc - Barycentric velocity at flux-weighted midpoint [m/s]
# svalue - Ca_HK S value
# svalue_err - Ca_HK S value uncertainty
# trv - Telluric calibrated absolute RV [km/s]
# trv_err - Uncertainty in telluric-calibrated absolute RV [km/s]
time,observation_id,tel,bjd,mnvel,errvel,cts,mdchi,bc,svalue,svalue_err,trv,trv_err
2020-02-05 06:13:11.189,j364.74,hires_j,2458884.759157,3.61340612114122,1.26013457775116,46900.0,1.24349510669708,-23993.191,0.1425,0.001,41.22,0.1
2020-02-25 05:50:49.194,j365.275,hires_j,2458904.743625,9.84417168197569,1.23806023597717,46380.0,1.21985745429993,-18247.083,0.1437,0.001,41.27,0.1
2020-02-26 05:12:42.229,j365.476,hires_j,2458905.717155,4.06608308815373,1.32210075855255,46232.0,1.19690823554993,-17867.378,0.1425,0.001,41.34,0.1
2020-07-05 14:40:58.812,j376.319,hires_j,2459036.111792,2.42024704093384,1.32661747932434,45841.0,1.16979229450226,26258.421,0.1335,0.001,41.54,0.1
2020-07-08 14:33:17.258,j377.132,hires_j,2459039.10645,-0.667712816288741,1.35085737705231,45895.0,1.1794273853302,26296.133,0.1358,0.001,41.13,0.1
2020-07-09 14:50:25.929,j377.314,hires_j,2459040.118356,-2.03149834765458,1.27814781665802,46324.0,1.16572201251984,26265.227,0.1368,0.001,41.59,0.1
2020-07-14 14:32:09.305,j378.98,hires_j,2459045.105663,1.36311659317545,1.47461605072021,44291.0,1.13767147064209,26159.477,0.14,0.001,41.32,0.1
2020-08-05 14:05:57.974,j382.66,hires_j,2459067.087477,-1.23075948793807,1.3888726234436,45571.0,1.15412211418152,23404.301,0.1366,0.001,41.3,0.1
2020-08-06 12:40:15.246,j382.201,hires_j,2459068.027954,2.01407942913798,1.48616421222687,37334.0,1.10872507095337,23349.718,0.1365,0.001,41.45,0.1
2020-08-07 12:40:46.844,j382.403,hires_j,2459069.02832,0.0781745401364127,1.40425598621368,46775.0,1.16713893413544,23138.944,0.1401,0.001,41.24,0.1
2020-08-11 14:48:45.311,j383.502,hires_j,2459073.117191,-3.88950241589286,1.27684259414673,45720.0,1.1441285610199,21992.307,0.1333,0.001,41.18,0.1
2020-08-16 14:25:10.016,j384.116,hires_j,2459078.10081,0.36986801092623,1.28801155090332,46256.0,1.18438577651978,20749.707,0.1349,0.001,41.13,0.1
2020-08-17 14:17:29.966,j384.319,hires_j,2459079.095486,0.860985795158905,1.27466630935669,46562.0,1.16035127639771,20487.145,0.1349,0.001,41.33,0.1
2020-08-28 14:47:42.734,j385.715,hires_j,2459090.116467,-4.47585730693404,1.32499825954437,46351.0,1.16243815422058,16973.178,0.1327,0.001,41.23,0.1
2020-08-31 14:39:02.044,j385.1329,hires_j,2459093.11044,-2.65639261201727,1.25720977783203,46397.0,1.19019997119904,15944.508,0.1346,0.001,41.39,0.1
2020-09-07 12:21:20.499,j388.107,hires_j,2459100.014821,-0.478697577703393,1.37616586685181,46538.0,1.16337335109711,13631.238,0.1278,0.001,41.46,0.1
2020-09-22 12:26:55.086,j389.104,hires_j,2459115.018693,-3.53943635846706,1.2658212184906,46815.0,1.19815909862518,7366.323,0.1341,0.001,41.21,0.1
2020-09-23 12:41:59.191,j389.279,hires_j,2459116.029157,-1.27227021750631,1.28108668327332,46784.0,1.17773056030273,6892.612,0.1323,0.001,41.44,0.1
2020-09-24 11:55:34.068,j389.465,hires_j,2459116.996922,-1.4432250785095,1.18729364871979,46338.0,1.20858800411224,6547.078,0.1333,0.001,41.37,0.1
2020-09-25 12:33:46.915,j389.696,hires_j,2459118.02346,0.0498412331334794,1.19775366783142,46100.0,1.20196580886841,6020.771,0.1348,0.001,41.27,0.1
2020-09-26 12:27:11.591,j389.891,hires_j,2459119.018884,-3.05784041925103,1.30838286876678,46185.0,1.21768927574158,5587.679,0.1357,0.001,41.43,0.1
2020-09-28 12:52:15.640,j389.1307,hires_j,2459121.036292,3.42203902043989,1.21058452129364,45991.0,1.20762062072754,4637.28,0.1353,0.001,41.42,0.1
2020-09-29 13:46:22.002,j389.1515,hires_j,2459122.073866,2.71161888279891,1.27865660190582,46471.0,1.19970488548279,4080.065,0.1332,0.001,41.5,0.1
2020-09-30 13:11:34.170,j389.1716,hires_j,2459123.049701,1.60981475031221,1.39547836780548,46420.0,1.23429870605469,3694.885,0.1346,0.001,41.46,0.1
2020-11-08 11:53:23.835,j393.76,hires_j,2459161.995415,-5.82114300057832,1.37836956977844,45956.0,1.18676280975342,-13707.296,,,41.52,0.1
2020-12-05 08:45:41.917,j395.393,hires_j,2459188.865068,-3.29396741992733,1.73496472835541,38948.0,1.26603662967682,-22697.638,0.1289,0.001,41.33,0.1
2020-12-06 08:00:14.596,j395.587,hires_j,2459189.833502,-2.51920244127359,1.3237464427948,45956.0,1.24997782707214,-22875.204,0.1523,0.001,41.19,0.1
2020-12-25 07:27:17.196,j396.286,hires_j,2459208.810616,-4.14990667500183,1.32400608062744,45579.0,1.21746444702148,-26413.736,0.1442,0.001,41.65,0.1
